Scopus refine results values

"Your query : (TITLE-ABS-KEY(""plant metabolomics""))"


Number of results : 264

"ACCESS TYPE",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",
"Open Access","76","2019","6","Saito, K.","15","Agricultural and Biological Sciences","102","Article","146","final","263","Methods In Molecular Biology","19","Metabolomics","152","Wageningen University and Research Centre","24","National Natural Science Foundation of China","6","China","45"
"Other","188","2018","40","Hall, R.D.","12","Biochemistry, Genetics and Molecular Biology","163","Review","53","aip","1","Metabolomics","14","Mass Spectrometry","91","Max Planck Institute of Molecular Plant Physiology","20","Biotechnology and Biological Sciences Research Council","5","United States","43"
,,"2017","19","Fernie, A.R.","9","Chemical Engineering","20","Book Chapter","40",,,"Analytical Chemistry","9","Metabolism","90","Riken","19","Erzincan Üniversitesi","4","Germany","41"
,,"2016","26","Roessner, U.","8","Chemistry","67","Conference Paper","11",,,"Frontiers In Plant Science","6","Article","86","Chiba University","13","Japan Science and Technology Agency","4","Netherlands","36"
,,"2015","24","Sumner, L.W.","8","Computer Science","10","Book","4",,,"Journal Of Chromatography B Analytical Technologies In The Biomedical And Life Sciences","6","Nonhuman","84","Chinese Academy of Sciences","13","Engineering and Physical Sciences Research Council","3","Japan","30"
,,"2014","28","Kopka, J.","7","Earth and Planetary Sciences","1","Editorial","4",,,"Phytochemical Analysis","6","Plant Metabolomics","84","Centre for Biosystems Genomics, Wageningen","11","Fundação de Amparo à Pesquisa do Estado de São Paulo","3","United Kingdom","22"
,,"2013","19","Choi, Y.H.","6","Energy","1","Short Survey","3",,,"Yaoxue Xuebao","5","Plants","66","Leiden University","10","Ministry of Education, Culture, Sports, Science and Technology","3","Australia","16"
,,"2012","22","Fiehn, O.","6","Engineering","8","Conference Review","1",,,"Acta Horticulturae","4","Plant","57","INRA Institut National de La Recherche Agronomique","9","National Research Foundation","3","Brazil","14"
,,"2011","12","Tohge, T.","6","Environmental Science","7","Erratum","1",,,"Analytical And Bioanalytical Chemistry","4","Chemistry","55","Samuel Roberts Noble Foundation","9","Allianz Industrie Forschung","2","France","13"
,,"2010","14","Verpoorte, R.","6","Immunology and Microbiology","9","Letter","1",,,"Annual Plant Reviews Volume 43 Biology Of Plant Metabolomics","4","Metabolite","53","University of Melbourne","9","Bioinformatics Institute","2","India","12"
,,"2009","7","Ward, J.L.","6","Materials Science","1",,,,,"Journal Of Agricultural And Food Chemistry","4","Metabolome","51","Institute of Biology Leiden","8","Bundesministerium für Bildung und Forschung","2","Belgium","10"
,,"2008","13","Beale, M.H.","5","Mathematics","6",,,,,"Journal Of Separation Science","4","Liquid Chromatography","50","Rothamsted Research","7","Bundesministerium für Wirtschaft und Energie","2","South Africa","10"
,,"2007","9","Deborde, C.","5","Medicine","43",,,,,"Physiologia Plantarum","4","Metabolites","45","Iowa State University","7","Bureau of Energy, Ministry of Economic Affairs, Republic of Taiwan","2","South Korea","8"
